time,action,symbol,qty,price,reason,ai_prob,kelly_size,strategy
2026-03-11T10:48:34.882516,BUY_SUBMITTED,RIOT,20,14.45,VWAP_REVERSION,-1.000,0.0000,vwap_reversion
2026-03-11T10:48:35.691546,BUY_SUBMITTED,HOOD,3,77.98,VWAP_REVERSION,-1.000,0.0000,vwap_reversion
2026-03-11T10:48:35.701148,BUY_FILLED,RIOT,20,14.45,fill,-1.000,0.0050,vwap_reversion
2026-03-11T10:48:37.046080,BUY_FILLED,HOOD,3,77.97,fill,-1.000,0.0050,vwap_reversion
2026-03-11T10:49:38.050946,SELL_SUBMITTED,HOOD,3,76.0,STOP_LOSS,0.000,0.0000,momentum
2026-03-11T10:49:56.461327,SELL_FILLED,HOOD,3,77.9,fill,0.000,0.0000,momentum
2026-03-11T10:58:19.213806,SELL_SUBMITTED,RIOT,20,14.4,STOP_LOSS,0.000,0.0000,momentum
2026-03-11T10:58:20.005271,SELL_FILLED,RIOT,20,14.41,fill,0.000,0.0000,momentum
2026-03-11T11:48:17.887062,BUY_SUBMITTED,ORCL,1,160.92,VWAP_REVERSION,-1.000,0.0000,vwap_reversion
2026-03-11T11:48:46.092509,BUY_FILLED,ORCL,1,160.82,fill,-1.000,0.0050,vwap_reversion
2026-03-11T12:03:07.131746,SELL_SUBMITTED,ORCL,1,161.72,TAKE_PROFIT,0.000,0.0000,momentum
2026-03-11T12:03:24.151077,BUY_SUBMITTED,INTC,6,47.66,VWAP_REVERSION,-1.000,0.0000,vwap_reversion
2026-03-11T12:03:29.034668,SELL_FILLED,ORCL,1,161.77,fill,0.000,0.0000,momentum
2026-03-11T12:03:29.036155,BUY_FILLED,INTC,6,47.64,fill,-1.000,0.0050,vwap_reversion
2026-03-11T12:17:17.980870,SELL_SUBMITTED,INTC,6,47.54,STOP_LOSS,0.000,0.0000,momentum
2026-03-11T12:17:58.977171,SELL_FILLED,INTC,6,47.54,fill,0.000,0.0000,momentum
